"","X","region","income"
"1",1,"E. NOR. CENTRAL","$10000 - 14999"
"2",2,"E. NOR. CENTRAL","$7000 TO 7999"
"3",3,"E. NOR. CENTRAL","$10000 - 14999"
"4",4,"E. NOR. CENTRAL","$10000 - 14999"
"5",5,"E. NOR. CENTRAL","$10000 - 14999"
"6",6,"MIDDLE ATLANTIC","$10000 - 14999"
"7",7,"MIDDLE ATLANTIC","$4000 TO 4999"
"8",8,"MIDDLE ATLANTIC","$7000 TO 7999"
"9",9,"MIDDLE ATLANTIC","$1000 TO 2999"
"10",10,"MIDDLE ATLANTIC","$15000 - 19999"
"11",11,"E. NOR. CENTRAL","$5000 TO 5999"
"12",12,"E. NOR. CENTRAL","$20000 - 24999"
"13",13,"E. NOR. CENTRAL","$3000 TO 3999"
"14",14,"E. NOR. CENTRAL","$15000 - 19999"
"15",15,"E. NOR. CENTRAL","$10000 - 14999"
"16",16,"E. NOR. CENTRAL","$5000 TO 5999"
"17",17,"E. NOR. CENTRAL","$15000 - 19999"
"18",18,"E. NOR. CENTRAL","$4000 TO 4999"
"19",19,"E. NOR. CENTRAL","$3000 TO 3999"
"20",20,"MOUNTAIN",NA
"21",21,"MOUNTAIN","$3000 TO 3999"
"22",22,"MOUNTAIN","LT $1000"
"23",23,"MOUNTAIN","$15000 - 19999"
"24",24,"MOUNTAIN","$3000 TO 3999"
"25",25,"E. NOR. CENTRAL","$5000 TO 5999"
"26",26,"E. NOR. CENTRAL","$8000 TO 9999"
"27",27,"E. NOR. CENTRAL",NA
"28",28,"E. NOR. CENTRAL","$4000 TO 4999"
"29",29,"E. NOR. CENTRAL","$8000 TO 9999"
"30",30,"E. NOR. CENTRAL","$15000 - 19999"
"31",31,"E. NOR. CENTRAL","$3000 TO 3999"
"32",32,"E. NOR. CENTRAL","$4000 TO 4999"
"33",33,"E. NOR. CENTRAL","$8000 TO 9999"
"34",34,"E. NOR. CENTRAL","$3000 TO 3999"
"35",35,"MIDDLE ATLANTIC","$25000 OR MORE"
"36",36,"MIDDLE ATLANTIC","$25000 OR MORE"
"37",37,"MIDDLE ATLANTIC","$20000 - 24999"
"38",38,"MIDDLE ATLANTIC","$25000 OR MORE"
"39",39,"MIDDLE ATLANTIC","$25000 OR MORE"
"40",40,"E. NOR. CENTRAL","$20000 - 24999"
"41",41,"E. NOR. CENTRAL","$8000 TO 9999"
"42",42,"E. NOR. CENTRAL","$7000 TO 7999"
"43",43,"E. NOR. CENTRAL",NA
"44",44,"E. NOR. CENTRAL","$10000 - 14999"
"45",45,"E. NOR. CENTRAL","$8000 TO 9999"
"46",46,"E. NOR. CENTRAL","$7000 TO 7999"
"47",47,"E. NOR. CENTRAL","$10000 - 14999"
"48",48,"E. NOR. CENTRAL","$8000 TO 9999"
"49",49,"E. NOR. CENTRAL","$4000 TO 4999"
"50",50,"E. NOR. CENTRAL","$15000 - 19999"
"51",51,"E. NOR. CENTRAL","$15000 - 19999"
"52",52,"E. NOR. CENTRAL","$10000 - 14999"
"53",53,"E. NOR. CENTRAL","$15000 - 19999"
"54",54,"E. NOR. CENTRAL","$20000 - 24999"
"55",55,"MIDDLE ATLANTIC","$5000 TO 5999"
"56",56,"MIDDLE ATLANTIC","$8000 TO 9999"
"57",57,"MIDDLE ATLANTIC","$15000 - 19999"
"58",58,"MIDDLE ATLANTIC","$15000 - 19999"
"59",59,"MIDDLE ATLANTIC","$20000 - 24999"
"60",60,"SOUTH ATLANTIC","$10000 - 14999"
"61",61,"SOUTH ATLANTIC","$8000 TO 9999"
"62",62,"SOUTH ATLANTIC","$10000 - 14999"
"63",63,"SOUTH ATLANTIC","$10000 - 14999"
"64",64,"SOUTH ATLANTIC","$10000 - 14999"
"65",65,"SOUTH ATLANTIC","$6000 TO 6999"
"66",66,"E. NOR. CENTRAL","$3000 TO 3999"
"67",67,"E. NOR. CENTRAL","$5000 TO 5999"
"68",68,"E. NOR. CENTRAL","$7000 TO 7999"
"69",69,"E. NOR. CENTRAL","$10000 - 14999"
"70",70,"E. NOR. CENTRAL","$6000 TO 6999"
"71",71,"SOUTH ATLANTIC","$10000 - 14999"
"72",72,"SOUTH ATLANTIC","$5000 TO 5999"
"73",73,"MIDDLE ATLANTIC","$15000 - 19999"
"74",74,"MIDDLE ATLANTIC","$15000 - 19999"
"75",75,"E. NOR. CENTRAL","$4000 TO 4999"
"76",76,"E. NOR. CENTRAL","$3000 TO 3999"
"77",77,"E. NOR. CENTRAL","$1000 TO 2999"
"78",78,"E. NOR. CENTRAL","$7000 TO 7999"
"79",79,"E. NOR. CENTRAL","$6000 TO 6999"
"80",80,"MOUNTAIN","$10000 - 14999"
"81",81,"MOUNTAIN",NA
"82",82,"MOUNTAIN","$3000 TO 3999"
"83",83,"MOUNTAIN","$10000 - 14999"
"84",84,"MOUNTAIN","$25000 OR MORE"
"85",85,"NEW ENGLAND","$8000 TO 9999"
"86",86,"NEW ENGLAND","$6000 TO 6999"
"87",87,"NEW ENGLAND","$20000 - 24999"
"88",88,"NEW ENGLAND","$3000 TO 3999"
"89",89,"NEW ENGLAND","$10000 - 14999"
"90",90,"SOUTH ATLANTIC","$1000 TO 2999"
"91",91,"SOUTH ATLANTIC","$10000 - 14999"
"92",92,"SOUTH ATLANTIC","$10000 - 14999"
"93",93,"SOUTH ATLANTIC","$15000 - 19999"
"94",94,"SOUTH ATLANTIC","$15000 - 19999"
"95",95,"E. NOR. CENTRAL","$5000 TO 5999"
"96",96,"E. NOR. CENTRAL","$7000 TO 7999"
"97",97,"E. NOR. CENTRAL","$10000 - 14999"
"98",98,"E. NOR. CENTRAL","$4000 TO 4999"
"99",99,"E. NOR. CENTRAL","$25000 OR MORE"
"100",100,"MOUNTAIN","$8000 TO 9999"
